POD ID,POD Name,City,Tier,Total GMV,FnV Orders,Units Sold
1394675,Kazhakootam,Trivandrum,2,1640754,29686,33720
1396289,Anand Bagh,Hyderabad,1,1637727,39188,49164
788745,Bhandup,Mumbai,1,1635952,34232,39778
1402460,Shubhodaya Hospital,Mysore,2,1635696,40242,48799
1404627,Jaypee Kasa,Noida,1,1634549,36980,41948
1404943,Vidya Theatre,Chennai,1,1633792,39494,45484
1238357,Foclo Technologies Pvt Ltd Sagarli Gaon,Mumbai,1,1632108,37244,43121
1398746,Bomikhal,Bhubaneswar,2,1631137,36386,42615
867466,GETMAX GLOBE PRIVATE LIMITED Chinar Park,Kolkata,1,1629567,39363,47287
1404783,Cyber Gateway,Hyderabad,1,1626405,33707,41354
1403144,Prestige Park Square,Bangalore,1,1622563,38975,48056
1404902,Neelankarai,Chennai,1,1622293,34500,41451
1403363,Rammurthy Nagar,Nellore,2,1620931,37670,46071
1135721,B&H ENTERTAINMENT (I) PVT LTD GOREGAON2,Mumbai,1,1618907,33432,39488
1385839,Gangaputra Nagar,Hyderabad,1,1614242,38622,47405
1398447,Gugai,Salem,2,1612173,40941,48836
1402069,Arulananda Nagar,Thanjavur,2,1611554,41269,47487
1402473,Tumkur Central,Tumakur,2,1609860,41372,49558
1388387,Kalyan East,Mumbai,1,1605430,37150,43256
1403020,MG Road,Bangalore,1,1602411,31905,39135
1402457,Dwarka Sector 19,Delhi,1,1601541,32291,38259
1404750,Udupi,Manipal,2,1599000,37470,44958
1386385,Bengaluru Badootaa,Bangalore,1,1598274,37904,45063
1402073,KK Nagar,Trichy,2,1598153,33437,38824
1230883,B&H ENTERTAINMENT (I) PVT LTD Oberai Mall,Mumbai,1,1593942,33746,39906
1388314,Wanwadi New,Pune,1,1592457,34964,40978
1402071,Adat road,Thrissur,2,1591200,35401,41831
1403470,Fiza Mall,Mangalore,2,1584918,32914,38975
854384,CITIUS RETAIL PVT LTD PALLAVARAM,Chennai,1,1584313,35888,42280
1400976,Arapalayam,Madurai,2,1584173,35226,40176
1399810,VST Junction,Hyderabad,1,1583728,34879,43298
1404755,Azadpur,Delhi,1,1580985,34592,40435
1400231,Kandivali,Mumbai,1,1580161,35061,41219
1402802,Agaram Then,Chennai,1,1576920,37399,44072
1403835,Nagole,Hyderabad,1,1575383,35658,44245
1389254,Ravet,Pune,1,1567500,37225,42673
1395723,Rajakilpakkam,Chennai,1,1562887,36564,42931
1401463,Singasandra,Bangalore,1,1560642,36349,42922
1167234,GetMax Globe Haltu 2,Kolkata,1,1559245,37873,44661
1396467,Yeshwantpur,Bangalore,1,1558722,33760,39736
1401464,Symphony Mall,Bhubaneswar,2,1556374,34538,40108
1387703,RK Studios,Mumbai,1,1556281,32197,37776
1082432,Genuino marketing Pvt ltd Nizampet4,Hyderabad,1,1556270,36131,44854
1400220,Shalibanda,Hyderabad,1,1556160,36598,46523
1404837,Chetpet,Chennai,1,1554120,31346,37831
1381356,Kwickbox Retail Pvt Ltd Hitech City,Hyderabad,1,1547418,31948,39245
1389257,District Centre,Bhubaneswar,2,1546492,34425,40131
1381561,Foclo Technologies Pvt Ltd Hawaiian Village,Mumbai,1,1546215,34419,39881
1401275,Central Kumaran Nagar,Tirupur,2,1544937,36763,43783
1404995,Chembumukku,Kochi,2,1533987,29819,34015
1395734,Nehru Nagar,Thrissur,2,1533346,33741,40424
1404965,Nalanda Lane,Trivandrum,2,1532558,28262,32725
1401079,C Camp,Kurnool,2,1532518,29646,38151
1385835,Beratena agrahara,Bangalore,1,1531912,35916,41535
1386449,Manapakkam,Chennai,1,1525916,33257,38659
1383130,Swinsta Ent Pvt Ltd Dhobi Talao,Mumbai,1,1523178,29096,35839
1404582,Kakatiya Nagar,Hyderabad,1,1521048,36600,45297
1400927,Moshi,Pune,1,1515695,37585,43010
1401473,Tirumalgherry,Hyderabad,1,1515581,32584,40547
1401253,Podanur,Coimbatore,2,1514030,30554,35363
1386948,East Of Kailash,Delhi,1,1513727,31488,36738
1403185,Rajagiri Hospital,Kochi,2,1512528,32129,37469
1403465,Kulashekhara,Mangalore,2,1506751,33322,38893
1395428,DLF Sec 54,Gurgaon,1,1503763,30537,35948
1386386,Puttanahalli,Bangalore,1,1503005,33834,40714
1386816,Attapur,Hyderabad,1,1500299,35771,44328
1401470,Madhura Nagar Colony,Hyderabad,1,1497523,32112,39577
1383827,Roj Retails Pvt Ltd Sector 39 Jharsa(Franchisee),Gurgaon,1,1492944,32877,38364
1402613,Perumbavoor,Kochi,2,1492360,31581,37556
1404931,Karaparamba Junction,Kozhikode,2,1491121,31992,35579
1401465,Sum Hospital,Bhubaneswar,2,1490704,31950,37262
1403021,Kanan Vihar,Bhubaneswar,2,1489233,30897,36093
1395728,Katai Village,Mumbai,1,1487544,34570,40268
1398747,Kalinga,Bhubaneswar,2,1485965,33201,38820
1386814,Baga,Goa,2,1484148,25671,29664
1404867,Virupatchipuram,Vellore,2,1481857,36229,41631
1396660,Bhartiya city,Bangalore,1,1481146,31646,37821
988472,Citius Retail India Pvt Ltd  Lakdikapul,Hyderabad,1,1480783,34666,43290
1387568,Vatika CIty Ggn,Gurgaon,1,1477008,32175,37997
1403759,Senjai,Karaikudi,2,1475948,39633,46736
1385944,Habsiguda,Hyderabad,1,1474124,33277,41176
1403453,Vital Chowk,Pune,1,1473606,32934,38091
1404944,Silk Board,Bangalore,1,1467355,35277,40575
1381848,Spwave Pvt Ltd Vinayaka Nagar,Bangalore,1,1466560,33017,39099
1401080,Bangarpet,Kurnool,2,1457639,27775,35346
1169284,GetMax Globe Haltu 1,Kolkata,1,1454489,32555,39877
1393824,Celebration Mall,Ahmedabad,2,1449937,32040,37890
1399702,Eroor,Kochi,2,1448371,29736,34002
1404794,Agrahara Layout - MP,Bangalore,1,1446869,32861,39164
1391901,Ramavarapadu,Vijayawada,2,1445032,28706,35447
1404754,Kothrud - MP,Pune,1,1444386,34657,39448
1402786,Reddiarpalayam,Pondicherry,2,1443970,31904,36046
1389638,Kalpataru,Hyderabad,1,1441186,32740,40466
1237709,Greenmania Modern Retail Pvt Ltd Kumaraswamy L,Bangalore,1,1439725,33450,39737
1267913,Kwickbox Retail Pvt Ltd Mithila Nagar,Hyderabad,1,1437760,31734,40012
1404936,Kad Wasti,Pune,1,1434019,32687,38002
1404907,Marathon Nexzone,Mumbai,1,1433264,32384,37778
1403560,Chimbel,Goa,2,1431137,25578,29264
1404610,Dwarka Sec 14,Delhi,1,1430678,30451,35729
1403749,RPC Layout,Bangalore,1,1429098,33271,39595
1404993,Parel Village,Mumbai,1,1422184,28210,33394
1388684,RS Puram Main,Coimbatore,2,1414771,26335,31267
1392081,Cujira Ward,Goa,2,1410725,25229,29088
1401274,Khadarpet West,Tirupur,2,1410561,34547,40798
1402051,Ramanthapuram,Coimbatore,2,1410524,25392,30124
1403048,Koorakanchery,Thrissur,2,1410512,31085,36875
1380710,Growgreenherbs Modern Retails Pvt Ltd Rayasandra,Bangalore,1,1409872,33703,39417
1400553,Kalwa,Mumbai,1,1406181,31650,36341
1082435,B&H ENTERTAINMENT (I) PVT LTD KHARGHAR,Mumbai,1,1405899,30240,35386
1387705,Nawada,Delhi,1,1404584,34050,39903
1402048,HMT Qtrs,Bangalore,1,1396087,32158,37789
1401266,Runwal Garden,Mumbai,1,1394851,31777,36812
1404677,Edachira,Kochi,2,1394471,26784,29896
1392083,Sector 53,Gurgaon,1,1394423,26617,31863
1401657,Kuvempu Road,Shivamogga,2,1394388,29449,35306
1404816,My Home Bhooja,Hyderabad,1,1388599,25942,32930
1404758,PunjaGutta - MP,Hyderabad,1,1380717,27224,34830
1395432,TPT Colony,Vizag,2,1379836,27936,34278
1402775,Tondiarpet Road,Chennai,1,1378353,34102,39649
1389634,Gaur City 2,Noida,1,1376262,31099,36737
1401107,Gajula Ramaram,Hyderabad,1,1375984,33911,41319
1388197,Salt Lake Sector V,Kolkata,1,1375423,31023,37258
1402067,Kalpathy,Palakkad,2,1374760,39008,45208
1402471,Changanassery,Thiruvalla,2,1373372,29878,34715
1395430,Sector 9,Noida,1,1372812,30283,35460
1382981,Kwickbox Retail Pvt Ltd Arvind Nagar colony,Hyderabad,1,1369059,30193,37970
1404926,VIP Nagar,Coimbatore,2,1367966,27126,31150
1402261,Moonamkutti,Kollam,2,1365363,29960,33801
1404881,Serilingampalle,Hyderabad,1,1365277,28526,34928
1403976,Sector 42B,Chandigarh,2,1360666,35599,42765
1398757,Phase I Sector 20 GGN,Gurgaon,1,1360483,29074,33766
1404663,Kazipet,Warangal,2,1359235,29164,35997
1403841,Ettumanoor,Kottayam,2,1359062,26947,31276
1398440,Mahindra City,Chennai,1,1358715,33991,39110
1404851,Otteri,Chennai,1,1358133,31759,37036
1404477,Prahladnagar - MP,Ahmedabad,2,1356853,29296,34501
1314370,SGE Retail Services Pvt Ltd Rajpur Sonapur,Kolkata,1,1356100,33732,40192
1403142,Mannuthy,Thrissur,2,1353971,30803,36521
1398441,AMR Planet,Hyderabad,1,1352741,30306,37961
901840,GETMAX GLOBE PVT LTD TOLLYGUNGE,Kolkata,1,1350160,33809,40165
1381358,Getmax Globe Pvt Ltd MVP Double Road,Vizag,2,1348444,26696,32661
1383570,Bodakdev,Ahmedabad,2,1347596,27584,33229
1386096,Tiljala,Kolkata,1,1345987,32336,38380
1402476,Pradhikaran,Pune,1,1345597,32794,37694
1386266,Porur,Chennai,1,1343577,29411,34387
1402443,Holiday Village,Bangalore,1,1339771,29781,35019
1403359,Peelamedu - MP,Coimbatore,2,1336330,26391,30464
1403177,Wimco Nagar,Chennai,1,1328253,35091,41055
816649,Citius Retail Pvt Ltd Tarnaka,Hyderabad,1,1326882,29541,36683
1397051,Vile Parle,Mumbai,1,1326881,25969,31451
1400972,Chungam,Kottayam,2,1326658,27184,31280
1393568,Urapakkam,Chennai,1,1326646,32135,37001
1404928,Kuttar,Mangalore,2,1325172,28763,32642
1404958,Goregaon East (NESCO),Mumbai,1,1325122,27046,31901
1400223,Kalipur,Kolkata,1,1324136,34157,40975
1388390,Labipet,Vijayawada,2,1322908,25440,32029
1403181,Vaneli,Goa,2,1322092,23371,26637
1401249,Washermenpet,Chennai,1,1319980,32231,37304
1391894,B N Reddy Nagar,Hyderabad,1,1317652,29943,37311
1404574,Saidabad,Hyderabad,1,1314522,30333,37959
1387076,Sargasan Gandhinagar,Ahmedabad,2,1313723,30063,34484
1404855,Mirpet,Hyderabad,1,1313647,33455,41265
1404964,Nahar\'s Nectarfield,Mumbai,1,1313242,27396,32011
1404901,Madambakkam - MP,Chennai,1,1311930,31159,36660
1155153,Genuino marketing Pvt ltd Bowenpally Alwal2,Hyderabad,1,1309078,29286,36790
1238352,Sahayu Retail Pvt Ltd Nizampet 6,Hyderabad,1,1308068,29041,36715
1380898,Growgreenherbs Modern Retails Pvt Ltd BT P Layout,Bangalore,1,1307241,30449,36292
1400923,Gerumbakkam,Chennai,1,1297890,30513,35382
1404592,Cyber city,Gurgaon,1,1297730,29632,33856
1404771,Bethany Hospital,Mumbai,1,1297593,28305,32903
1394673,Bhekrai,Pune,1,1295252,31512,36181
1404650,Kovur Nagar,Anantpur,2,1291671,28520,36200
1402441,Arjunappa Layout,Bangalore,1,1290462,31249,37148
1386098,Chamundi Temple,Mysore,2,1287096,29008,34957
1404636,Payakapuram - MP,Vijayawada,2,1286640,25555,31568
1403357,Athipet,Chennai,1,1283930,30126,34950
1387563,Padivattom,Kochi,2,1281409,24562,28630
1403356,Pammal Ganesh Cinemas,Chennai,1,1280713,31639,36539
1402608,Star Mall,Gurgaon,1,1280077,27038,32010
1405015,Kalyani Nagar Megapod,Pune,1,1279048,27977,32251
1385475,Padur,Chennai,1,1278206,28206,32598
1404809,Raigachi,Kolkata,1,1277473,31074,36815
1404604,Choma Village,Gurgaon,1,1275159,27670,32866
1099458,Max Reach Stores Pvt Ltd Laxmi Nagar2,Delhi,1,1274892,28013,32318
1394670,Sobha Garrison,Bangalore,1,1271159,28441,33493
1231805,Greenmania Modern Retails Private Limited Hebbal,Bangalore,1,1270271,30495,36684
1404790,Zamin Pallavaram,Chennai,1,1268021,28807,33644
1401653,Vanagram,Chennai,1,1265766,28158,32452
1237258,Getmax Globe Pvt. Ltd. Garia,Kolkata,1,1255572,31403,37341
1403475,Saibaba Colony - MP,Coimbatore,2,1254877,24252,28523
1380670,Genuino Marketing Private Limited Vijaya Nagar,Chennai,1,1254669,27955,32958
1386719,CP,Delhi,1,1254332,27281,31788
1404580,Benson Town,Bangalore,1,1251841,26503,31979
1403690,Satellite,Ahmedabad,2,1251149,28074,33095
1402269,CMC,Vellore,2,1248817,28090,33744
1402141,Chandapura,Bangalore,1,1248317,30624,36714
1403832,Nerkundram,Chennai,1,1242011,28352,33110
1389256,College Road,Nashik,2,1240348,28384,34276
1400965,Mudichur,Chennai,1,1239907,31200,36287
1403725,Budhena Village,Faridabad,2,1237932,29662,36214
1403354,Vydehi Hospital,Bangalore,1,1237740,24672,29933
1401267,Nyay Khand,Noida,1,1236797,27123,31932
1400557,Tingre Nagar,Pune,1,1235480,29730,33896
1398450,Tadepalle,Vijayawada,2,1235208,24691,30308
1402801,Aminjikarai,Chennai,1,1229295,27312,31862
1062023,Max Reach Stores Pvt. Ltd. Rohini,Delhi,1,1229227,25789,30747
1397618,Shela,Ahmedabad,2,1228413,25667,30489
1388312,Kompally,Hyderabad,1,1223821,26810,34038
1402459,Taloja Phase 2,Mumbai,1,1222220,30653,35149
1394451,Sector 14 Main,Gurgaon,1,1220178,28611,33843
1404848,Bhoj Reddy College,Hyderabad,1,1216058,26984,33825
1404925,Aiswarya Nagar,Palakkad,2,1215373,34204,39199
1402810,Kalamassery,Kochi,2,1215316,25860,29755
1382255,Kwickbox Retail Pvt Ltd Musheerabad,Hyderabad,1,1215126,27240,33692
1230886,PYD  Retail Private Limited Mayur Vihar 2,Delhi,1,1213502,25346,29960
1404844,Jadhavpur,Kolkata,1,1213198,27933,33246
1402774,KLE College,Bangalore,1,1213057,28483,33975
1400985,Kaikatiya University,Warangal,2,1212233,25796,32074
1393575,Vikas Udyan,Pune,1,1212015,31026,35143
1380899,Growgreenherbs Modern Retails Pvt Ltd Hoshalli Ext,Bangalore,1,1206316,28469,34270
810368,Aariga Strategy Consultants Pvt Ltd Munirika,Delhi,1,1204165,25149,29864
1382440,Getmax Globe Pvt Ltd Dwarka Nagar,Vizag,2,1201901,22892,27681
1382258,Aariga Strategy Consultants Pvt Ltd Tulip Society,Gurgaon,1,1197544,25982,30621
1402078,Postal Colony,Kakinada,2,1197247,24526,29058
1404984,Bandra Hill Road,Mumbai,1,1193163,23876,28945
1400556,B Block Sec 122,Noida,1,1190446,27479,31790
1383134,Roj Retails Pvt Ltd Sector 44,Noida,1,1189023,25617,30200
1404644,Bibewadi,Pune,1,1187752,30384,34585
1405004,Mothi Nagar,Hyderabad,1,1187441,32013,38632
1394674,Vesu,Surat,2,1181796,22499,27706
1401654,Nanakpura -Mayapuri,Delhi,1,1179604,25121,29747
1395725,45 Pally,Kolkata,1,1179311,30487,36500
1400964,Patia,Bhubaneswar,2,1177474,24644,28502
1404929,Adambakkam,Chennai,1,1170143,27699,33039
1404951,Halasuru Lake,Bangalore,1,1165744,24240,29279
1388451,West Hills,Kozhikode,2,1165397,23551,26506
1400554,Elymus,Mumbai,1,1164679,26243,30472
1099457,PYD Retail Pvt Ltd Tilak Nagar,Delhi,1,1163610,23668,28451
1397028,Gehlot Farm,Gurgaon,1,1162982,24177,28414
1267917,Roj Retail Pvt Ltd Kailash Colony,Delhi,1,1161075,22560,26760
1403032,Sec 11 Belapur,Mumbai,1,1160004,23893,28109
1404605,LB Nagar,Hyderabad,1,1159534,25893,32126
1401078,Telephone Bhavan,Erode,2,1158106,24974,28730
1404935,Bhartiya City Nikoo Homes,Bangalore,1,1157943,24618,29176
1404596,Sharda Niketan,Delhi,1,1154892,22944,27889
1402052,Inderlok Metro Station,Delhi,1,1153098,25947,30570
1403143,MV Nagar,Thiruvallur,2,1150595,27921,31886
1313712,Growgreenherbs Modern Retail P Ltd ShivajiNagar,Bangalore,1,1147429,22951,28530
1401661,Eco Village,Noida,1,1144105,27008,31883
1383851,Lodi Colony,Delhi,1,1143856,27159,32447
1404585,HiLITE,Kozhikode,2,1141250,22001,24857
1386812,Vasna,Ahmedabad,2,1140788,26116,30797
1403829,Gujarat University - MP,Ahmedabad,2,1140260,24809,29125
1403844,Chalakudy,Thrissur,2,1139583,25196,30056
1388389,Sasthamangalam,Trivandrum,2,1136116,20921,23983
1399807,Sai Nagar,Karimnagar,2,1134718,23366,29557
1382494,PYD Retail Pvt Ltd Jangpura,Delhi,1,1130833,23831,27884
1404659,VTP Leonara,Pune,1,1128573,27770,31313
1401462,Myadarahalli,Bangalore,1,1128181,27477,32139
1403145,JC Mall,Rajahmundry,2,1126733,24898,29392
1404826,MRK Rd Alwal,Hyderabad,1,1126305,24888,30935
1402773,Devanahalli,Bangalore,1,1125888,25932,32038
1401260,Downtown Mall,Kolkata,1,1125748,26355,31259
649851,Aariga Strategy Consultant Pvt Ltd Rajouri,Delhi,1,1118528,22665,27417
1403416,Rajendra Nagar,Mysore,2,1117266,25273,30506
1404808,Patia - MP,Bhubaneswar,2,1117121,24350,28351
1397629,Ponekkara,Kochi,2,1115308,23652,26801
1395726,Rathtala,Kolkata,1,1111991,28988,34440
762613,Citius Retail India Pvt Ltd Kothapet,Hyderabad,1,1111379,26458,32672
1403022,Patrapada,Bhubaneswar,2,1110980,24521,28335
1400558,Kohinoor Begonia,Pune,1,1106277,28238,32342
1404569,Talap,Kannur,2,1105626,22911,25947
1402464,Brooklyn,Pune,1,1105343,26541,30708
1386271,Kohat Enclave,Delhi,1,1103454,22319,26785
1393569,Doon IT Park,Dehradun,2,1102039,27842,32880
1384143,Kakrola Dwarka,Delhi,1,1101821,23094,27210
1384513,Om Vihar,Gurgaon,1,1101142,25060,29438
1404849,Antriksh Golf View,Noida,1,1100183,24839,29314
1402465,Zenobia,Pune,1,1099916,28282,31859
1402469,Rukmini Nagar - MP,Guwahati,2,1099015,24788,28630
649841,Aargia strategy consultant Pvt Ltd Laxmi N,Delhi,1,1092418,23446,27599
1388313,Lake Town,Kolkata,1,1089810,26638,32150
1388452,Bombay Naka,Nashik,2,1087339,24879,30305
1385476,Medavakkam New,Chennai,1,1084497,24397,28479
1388997,VIP Road,Chandigarh,2,1080717,26465,31610
1396283,Byculla East,Mumbai,1,1079602,22770,26647
1404796,Ovari Pada,Mumbai,1,1076194,23006,27156
1404664,Champapet,Hyderabad,1,1075359,23830,30052
1404798,Khorlim - C,Goa,2,1065230,18624,21347
1403455,Sangamvadi,Pune,1,1063398,23597,27573
1402062,Thakurli East,Mumbai,1,1062659,23517,27427
1397628,Mahesh Nagar,Hyderabad,1,1059548,22536,28576
1404769,Navodhaya Nagar,Anantpur,2,1053442,24409,30248
1400217,Ambedkar Road,Belgaum,2,1053214,22347,25842
1390223,Chikan Ghar,Mumbai,1,1050083,23840,27840
1404782,Sadashiv Peth,Pune,1,1049978,24722,28481
1393562,DLF Woodland,Bangalore,1,1048049,24913,29885
1401715,Dabhel,Vapi,2,1047806,23713,28008
1387080,PVR VVIP Ghaziabad,Noida,1,1045582,23758,28675
1387906,Sec 67 Chandigarh,Chandigarh,2,1045077,24899,29259
1382659,Aariga Strategy Consultants Pvt Ltd AV Phase3,Gurgaon,1,1039494,25433,30631
1398754,Urit Nagar Warje,Pune,1,1039164,25575,29268
1403421,Greenage HSR 2,Bangalore,1,1038665,25474,29629
1400221,Moosarambagh,Hyderabad,1,1036961,24271,30082
1397025,Kurali Road,Chandigarh,2,1036835,28931,34053
762550,Aariga Strategy Consultants Pvt Ltd Janakpuri,Delhi,1,1034227,21660,25738
1400602,Mustafa Nagar,Khammam,2,1029054,19446,24236
1401276,GIDC,Vapi,2,1026125,23181,27840
1402456,Chengannur,Thiruvalla,2,1023985,21472,25214
1386535,Subhash Nagar,Delhi,1,1020984,20624,24736
1400219,Kodungaiyur,Chennai,1,1020313,23413,27213
1388686,Pragati Nagar,Mumbai,1,1013949,23113,26992
1389689,Uttam Nagar,Delhi,1,1009856,23324,27370
1388195,Motera,Ahmedabad,2,1009541,24222,28129
1403208,Kwality Market,Delhi,1,1009162,20746,25001
1400548,Paschim Vihar,Delhi,1,1008518,21200,25319
1403313,Tiruverkadu,Chennai,1,1007084,24849,29032
1402788,Ambikapatty,Silchar,2,1006653,29298,33720
1404753,Mula River,Pune,1,1006440,23025,26498
1402453,Kannan Devi Cinemas,Madurai,2,1006142,21873,25052
1403050,Nambiar,Bangalore,1,1005654,23668,29809
